"","SEEM_WT1","SEEM_WT2","SEEM_WT3","SEDM_WT1","SEDM_WT2","SEDM_WT3"
"1500012K07Rik",0,0,0,0,0,0
"1500015A07Rik",29,28,20,16,17,41
"1500015L24Rik",0,0,0,0,0,0
"1500026H17Rik",1,4,3,1,0,1
"1500035N22Rik",0,0,0,1,0,0
"1600002D24Rik",0,1,0,0,2,1
"1600010M07Rik",7,7,8,22,21,14
"1600012H06Rik",689,710,725,747,752,743
"1600012P17Rik",0,1,0,0,0,0
"1600014C10Rik",2931,2903,2818,2456,2323,2501
"1600014C23Rik",0,1,0,2,4,5
"1600015H23Rik",0,0,0,0,0,0
"1600019K03Rik",0,0,0,0,0,0
"1600020E01Rik",68,83,77,51,48,62
"1600023N17Rik",3,0,3,3,1,3
"1600025M17Rik",0,0,0,0,0,0
"1600027J07Rik",0,0,0,0,0,0
"1600029I14Rik",0,0,0,0,0,0
"1600029O15Rik",2,1,1,0,1,0
"1700001D01Rik",0,1,1,0,0,0
"1700001F09Rik",0,0,0,0,0,0
"1700001G01Rik",0,0,0,0,0,0
"1700001G11Rik",40,46,57,39,47,52
"1700001G17Rik",3,6,1,5,7,6
"1700001J03Rik",18,20,25,19,14,15
"1700001J04Rik",0,0,0,0,0,0
"1700001J11Rik",0,0,0,0,0,0
"1700001K19Rik",10,9,7,12,5,6
"1700001K23Rik",2,3,0,3,2,2
"1700001L05Rik",73,78,75,215,134,159
"1700001O22Rik",8,12,9,7,12,6
"1700003C15Rik",0,0,0,0,0,0
"1700003D09Rik",0,0,0,0,0,0
"1700003E16Rik",5,6,6,5,8,6
"1700003E24Rik",0,0,0,0,0,0
"1700003F12Rik",6,2,7,3,7,3
"1700003G18Rik",0,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0
"1700003I22Rik",0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0
"1700003M07Rik",1,0,0,1,0,0
"1700003P14Rik",0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0
"1700006H20Rik",3,0,2,0,2,0
"1700006H21Rik",0,0,0,0,0,0
"1700006J14Rik",26,35,21,21,34,35
"1700007E05Rik",0,0,0,0,0,0
"1700007F19Rik",0,0,0,0,0,0
"1700007J10Rik",6,11,14,9,7,12
"1700007L15Rik",40,48,53,33,35,40
"1700007P06Rik",0,0,0,0,0,0
"1700008C04Rik",0,0,0,0,0,0
"1700008J07Rik",79,81,95,96,79,87
"1700008K24Rik",0,0,0,0,0,0
"1700008O03Rik",3,3,7,9,9,7
"1700008P02Rik",0,0,0,0,0,0
"1700009C05Rik",0,0,0,0,0,0
"1700009J07Rik",0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0
"1700010D01Rik",0,0,0,0,0,0
"1700010G06Rik",0,3,1,4,3,1
"1700010H22Rik",0,0,0,0,0,0
"1700010I02Rik",0,0,0,0,0,0
"1700010I14Rik",53,59,60,60,63,80
"1700010J16Rik",0,0,0,0,0,0
"1700010K23Rik",0,0,0,0,0,0
"1700010L04Rik",1,0,0,0,0,0
"1700010N08Rik",0,0,0,0,0,0
"1700011B04Rik",0,0,0,0,0,1
"1700011C11Rik",0,0,0,0,0,0
"1700011L22Rik",1,1,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0
"1700012B09Rik",0,2,2,1,1,0
"1700012C14Rik",0,0,1,0,0,1
"1700012D01Rik",10,10,16,23,33,28
"1700012D16Rik",0,0,0,0,0,0
"1700012H19Rik",0,0,0,0,0,0
"1700012I11Rik",0,0,0,0,0,0
"1700012J15Rik",0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0
"1700013N06Rik",0,0,0,0,0,0
"1700014L14Rik",0,0,0,0,0,0
"1700015C15Rik",1,4,2,5,1,2
"1700015I17Rik",0,0,0,0,0,0
"1700016A09Rik",45,32,53,48,47,51
"1700016B01Rik",0,0,0,0,0,0
"1700016C19Rik",0,0,0,0,0,0
"1700016G22Rik",0,0,1,0,1,1
"1700016H13Rik",0,1,1,0,0,1
"1700016J18Rik",0,0,2,3,1,3
"1700016K05Rik",0,0,0,0,0,0
"1700016L04Rik",0,0,1,0,0,0
"1700016L21Rik",0,0,0,0,0,0
"1700016P04Rik",0,0,0,0,0,0
"1700017B05Rik",1460,1434,1568,1463,1276,1252
"1700017G19Rik",1,0,2,1,0,4
"1700017J07Rik",0,0,0,0,0,0
"1700017L05Rik",0,0,0,0,0,0
"1700017M07Rik",0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0
"1700018A04Rik",0,0,0,0,0,0
"1700018A23Rik",183,165,175,171,209,208
"1700018B08Rik",0,0,0,0,1,0
"1700018B24Rik",0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0
"1700018L02Rik",128,117,126,118,113,87
"1700019A02Rik",0,0,0,0,0,1
"1700019C18Rik",0,0,0,0,0,0
"1700019D03Rik",2,2,2,0,1,0
"1700019E08Rik",0,0,0,0,0,0
"1700019F05Rik",0,0,0,0,0,0
"1700019G24Rik",0,0,0,0,0,0
"1700019J19Rik",0,0,0,0,0,1
"1700019M22Rik",0,0,0,0,0,0
"1700019P21Rik",0,0,0,0,0,0
"1700020A23Rik",2,3,0,0,1,0
"1700020D12Rik",0,0,0,0,0,0
"1700020D14Rik",0,0,0,0,0,0
"1700020G03Rik",0,0,0,0,0,0
"1700020G17Rik",0,0,0,0,0,0
"1700020L13Rik",26,23,22,25,23,22
"1700020L24Rik",517,517,497,512,477,595
"1700020M21Rik",1,0,0,0,0,0
"1700020N01Rik",2,0,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0
"1700020N18Rik",0,4,1,3,3,3
"1700021F02Rik",0,0,0,0,0,0
"1700021G15Rik",0,0,0,0,0,0
"1700021L23Rik",0,0,0,0,0,0
"1700021N21Rik",1,0,1,1,3,1
"1700022A21Rik",0,0,0,0,0,0
"1700022A22Rik",0,0,0,0,0,0
"1700022E09Rik",0,0,0,0,0,0
"1700022H01Rik",0,1,0,0,0,0
"1700022H16Rik",0,0,0,0,0,0
"1700022N22Rik",43,45,50,40,40,28
"1700023A20Rik",0,0,1,2,0,1
"1700023C21Rik",0,0,0,0,0,0
"1700023D09Rik",221,229,211,210,220,180
"1700023F02Rik",0,0,0,0,0,0
"1700023G09Rik",0,0,0,0,0,0
"1700024B05Rik",0,0,0,0,0,0
"1700024B18Rik",0,0,0,0,0,0
"1700024G13Rik",0,0,0,0,0,0
"1700024I08Rik",0,0,0,0,0,0
"1700024J04Rik",0,0,0,0,0,0
"1700024N05Rik",0,0,0,0,0,0
"1700025B11Rik",0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0
"1700025D23Rik",0,0,0,0,0,0
"1700025F24Rik",0,0,0,0,0,0
"1700025G04Rik",397,432,409,224,188,250
"1700025H01Rik",0,0,1,0,0,0
"1700025J12Rik",3,1,9,0,2,1
"1700025K04Rik",0,0,0,0,0,0
"1700025K24Rik",0,0,0,0,0,0
"1700025M24Rik",1,0,0,1,1,0
"1700025N21Rik",3,5,3,5,9,12
"1700025N23Rik",1,3,4,5,6,7
"1700025O08Rik",0,0,0,0,0,0
"1700026D11Rik",0,0,0,0,0,0
"1700026F02Rik",0,0,0,0,0,0
"1700026J12Rik",0,0,0,0,0,0
"1700026J14Rik",1,0,0,0,0,0
"1700027F06Rik",0,0,0,0,0,0
"1700027F09Rik",0,0,0,0,0,0
"1700027H10Rik",0,0,0,0,0,0
"1700027I24Rik",0,0,0,0,0,0
"1700027J07Rik",0,2,1,1,1,0
"1700028B04Rik",0,0,0,0,0,0
"1700028D13Rik",0,0,0,0,0,0
"1700028E10Rik",5,15,7,12,10,15
"1700028I16Rik",1,2,1,3,1,4
"1700028J19Rik",13,10,6,9,10,7
"1700028K03Rik",43,33,46,37,26,39
"1700028M03Rik",0,0,0,0,0,0
"1700028P15Rik",0,0,0,0,0,0
"1700029B22Rik",0,0,0,0,0,0
"1700029F12Rik",0,0,0,0,0,0
"1700029H14Rik",2,2,0,0,0,1
"1700029J03Rik",0,0,0,0,0,0
"1700029M03Rik",0,0,0,0,0,0
"1700029M20Rik",0,0,0,0,0,0
"1700029N11Rik",0,1,1,1,2,0
"1700030A11Rik",2,6,2,4,2,2
"1700030C10Rik",16,13,13,24,26,26
"1700030C12Rik",45,41,47,39,33,47
"1700030C14Rik",0,0,0,0,0,1
"1700030F04Rik",0,0,0,0,1,0
"1700030I03Rik",0,0,0,0,0,0
"1700030J22Rik",17,7,12,14,8,8
"1700030K09Rik",128,110,113,149,120,140
"1700030L20Rik",0,0,0,0,0,0
"1700030L22Rik",0,0,0,0,0,0
"1700030M09Rik",0,0,0,0,0,0
"1700030N03Rik",0,0,0,0,0,0
"1700030O20Rik",0,0,0,0,0,0
"1700031A10Rik",0,0,0,0,0,0
"1700031F05Rik",0,0,0,0,0,0
"1700031L13Rik",0,0,0,0,0,0
"1700031M16Rik",0,0,0,0,0,0
"1700031P21Rik",0,0,0,0,0,0
"1700034B16Rik",0,0,0,0,0,0
"1700034E13Rik",0,0,0,0,0,0
"1700034G24Rik",0,0,0,0,0,0
"1700034H15Rik",36,30,48,36,38,37
"1700034J05Rik",0,0,0,0,0,0
"1700034K08Rik",0,0,0,0,0,0
"1700034P13Rik",237,244,223,207,169,216
"1700036A12Rik",0,0,0,0,0,0
"1700036G14Rik",0,0,0,0,0,0
"1700037C18Rik",25,14,16,19,20,23
"1700037F03Rik",1,0,0,0,2,0
"1700039E22Rik",0,0,0,0,0,0
"1700039I01Rik",0,0,0,0,0,0
"1700039M10Rik",0,0,0,0,0,0
"1700039O17Rik",0,0,0,0,0,0
"1700040D17Rik",2,0,1,2,0,1
"1700040F15Rik",0,0,0,0,0,0
"1700040G22Rik",0,0,0,0,0,0
"1700040K01Rik",0,0,0,0,0,0
"1700040P09Rik",0,0,0,0,0,0
"1700041A01Rik",0,2,0,0,0,0
"1700041B01Rik",2,0,0,1,1,1
"1700041C23Rik",0,0,0,0,0,0
"1700041G16Rik",8,6,3,6,6,9
"1700041I07Rik",0,0,0,0,0,0
"1700041M19Rik",0,0,0,0,0,0
"1700042G15Rik",0,0,0,0,0,0
"1700042O10Rik",1,3,5,2,4,2
"1700044C05Rik",0,0,0,0,0,0
"1700044K03Rik",0,0,0,0,0,0
"1700045H11Rik",0,0,0,0,0,0
"1700046C09Rik",0,0,0,0,0,0
"1700047A11Rik",12,23,19,20,20,18
"1700047E10Rik",0,0,0,0,0,0
"1700047F07Rik",0,0,0,1,0,0
"1700047G03Rik",0,0,0,2,0,0
"1700047L14Rik",0,0,0,0,0,0
"1700047M11Rik",77,65,93,184,171,158
"1700048B10Rik",0,0,0,0,0,0
"1700048F04Rik",0,0,0,0,0,0
"1700048M11Rik",10,7,1,8,7,4
"1700048O14Rik",0,0,0,0,0,0
"1700048O20Rik",15,31,20,18,26,29
"1700049E15Rik",0,0,0,0,0,0
"1700049E17Rik1",0,0,0,0,0,0
"1700049E17Rik2",0,0,0,0,0,0
"1700049E22Rik",0,0,0,0,0,0
"1700049J03Rik",1,2,4,4,3,3
"1700049L16Rik",0,0,0,1,0,0
"1700051A21Rik",0,0,0,0,0,0
"1700051K13Rik",107,78,108,78,66,69
"1700052H01Rik",0,0,0,0,0,0
"1700052I22Rik",1,0,0,1,0,0
"1700052K11Rik",76,72,67,71,81,67
"1700054A03Rik",0,0,0,0,0,0
"1700054K19Rik",0,0,0,0,0,0
"1700054M17Rik",0,0,0,0,0,0
"1700054O19Rik",1,0,3,0,0,0
"1700055C04Rik",0,0,0,0,0,0
"1700055D16Rik",25,21,21,21,19,15
"1700055D18Rik",8,9,7,10,8,10
"1700055K11Rik",0,0,0,0,0,0
"1700055L01Rik",0,0,0,0,0,0
"1700056E22Rik",5,3,7,3,7,4
"1700057H15Rik",0,0,0,0,0,0
"1700057H21Rik",0,0,0,0,0,0
"1700060C16Rik",0,0,0,0,0,0
"1700060C20Rik",0,0,0,0,0,0
"1700060J05Rik",28,37,36,33,38,27
"1700061F12Rik",0,0,0,0,0,0
"1700061I17Rik",0,1,0,0,0,0
"1700061J23Rik",0,0,0,0,0,0
"1700061N14Rik",0,0,0,0,0,0
"1700062C10Rik",0,0,0,0,0,0
"1700063A18Rik",0,0,0,0,0,0
"1700063D05Rik",1,0,0,1,1,2
"1700063H04Rik",2,3,3,9,8,12
"1700063H06Rik",0,0,0,0,0,0
"1700063K16Rik",0,0,1,0,1,1
"1700063O14Rik",0,0,0,0,0,0
"1700064F23Rik",0,0,0,0,0,0
"1700064J06Rik",0,0,0,0,0,0
"1700064M15Rik",0,0,0,0,0,0
"1700065D16Rik",9,9,9,10,16,19
"1700065I16Rik",0,0,0,0,0,0
"1700065J11Rik",0,0,0,0,0,0
"1700065J18Rik",0,0,0,0,0,0
"1700065L07Rik",0,0,0,0,0,0
"1700065O20Rik",0,0,0,0,0,0
"1700066B17Rik",0,0,0,0,0,0
"1700066C05Rik",0,0,0,0,0,0
"1700066J03Rik",0,0,0,0,0,0
"1700066M21Rik",314,311,313,258,233,304
"1700066N21Rik",0,0,0,0,0,0
"1700066O22Rik",0,0,0,0,0,0
"1700067G17Rik",0,0,0,1,0,0
"1700067K01Rik",7,4,6,9,9,11
"1700067P10Rik",0,0,0,0,0,0
"1700069L16Rik",0,0,0,0,0,0
"1700069P05Rik",0,0,0,0,0,0
"1700071G01Rik",0,0,0,0,0,0
"1700071K01Rik",0,0,0,0,0,0
"1700071M16Rik",1147,1016,1138,2288,2171,2002
"1700072B07Rik",0,0,0,0,0,0
"1700072F12Rik",0,0,0,0,0,0
"1700072I22Rik",0,0,0,0,0,0
"1700072O05Rik",0,0,0,0,0,0
"1700073E17Rik",0,0,1,0,1,0
"1700074H08Rik",0,0,0,0,0,0
"1700080F18Rik",0,0,0,0,0,0
"1700080G11Rik",0,0,0,0,0,0
"1700080N15Rik",0,0,0,0,0,0
"1700081B01Rik",0,0,0,0,0,0
"1700081H04Rik",0,0,0,0,0,0
"1700082M22Rik",3,1,2,4,7,7
"1700083H02Rik",0,0,0,0,0,0
"1700084D21Rik",0,0,0,0,0,0
"1700084E18Rik",4,2,4,5,9,5
"1700084F23Rik",0,0,0,0,0,0
"1700084J12Rik",0,1,0,0,0,0
"1700084M14Rik",0,0,0,0,0,0
"1700085C21Rik",0,0,0,0,0,0
"1700086D15Rik",0,0,0,0,0,0
"1700086L19Rik",0,0,0,0,0,0
"1700086O06Rik",105,101,85,104,97,90
"1700086P04Rik",6,4,1,9,12,12
"1700087M22Rik",22,36,24,22,20,14
"1700088E04Rik",247,239,259,209,179,174
"1700091H14Rik",0,0,0,0,0,0
"1700091J24Rik",0,0,0,0,0,0
"1700092C02Rik",0,0,0,0,0,0
"1700092C10Rik",0,0,0,0,0,0
"1700092E19Rik",0,0,0,0,0,0
"1700092K14Rik",0,0,0,0,0,0
"1700093K21Rik",5,1,1,2,0,1
"1700094J05Rik",150,125,136,120,116,140
"1700094M23Rik",2,1,2,2,1,1
"1700094M24Rik",0,0,0,0,0,0
"1700095A13Rik",0,0,0,0,0,0
"1700095A21Rik",0,0,0,0,0,0
"1700095B10Rik",0,0,1,0,0,1
"1700095J03Rik",0,0,0,0,0,0
"1700095J07Rik",0,0,0,0,0,0
"1700095J12Rik",1,1,0,3,0,1
"1700095K22Rik",0,0,0,0,1,0
"1700096J18Rik",0,0,0,0,0,2
"1700096K18Rik",34,42,48,61,80,81
"1700096P03Rik",0,0,0,0,0,0
"1700097N02Rik",5,3,6,6,7,17
"1700099I09Rik",5,5,4,1,8,4
"1700100I10Rik",0,0,0,0,1,0
"1700100L14Rik",0,0,0,0,0,0
"1700101I11Rik",140,144,139,124,112,109
"1700101O22Rik",0,0,0,0,0,0
"1700102H20Rik",3,3,1,1,1,3
"1700102J08Rik",0,0,0,0,0,0
"1700102P08Rik",11,1,2,13,2,8
"1700104B16Rik",75,50,70,71,83,87
"1700104L18Rik",0,0,0,0,0,0
"1700105F02Rik",0,1,1,0,0,0
"1700105P06Rik",8,2,4,3,6,3
"1700108F19Rik",0,0,0,0,0,0
"1700108I11Rik",1,0,0,0,2,1
"1700108J01Rik",0,0,0,0,0,0
"1700108N06Rik",0,0,0,0,0,0
"1700109G14Rik",0,0,0,0,0,0
"1700109G15Rik",0,0,0,0,0,0
"1700109H08Rik",72,80,70,42,47,65
"1700109I08Rik",0,0,0,0,0,0
"1700109K24Rik",1,0,1,0,1,1
"1700110C19Rik",0,1,0,1,4,2
"1700110I01Rik",0,0,0,0,0,0
"1700110I07Rik",0,0,0,0,0,0
"1700110K17Rik",45,32,39,31,41,29
"1700111N16Rik",0,0,0,0,0,0
"1700112D23Rik",0,0,0,1,2,0
"1700112H15Rik",0,0,0,0,0,1
"1700112J05Rik",4,0,1,2,1,2
"1700112J16Rik",1,3,0,0,1,0
"1700112M02Rik",0,0,0,0,0,0
"1700112N08Rik",0,0,0,0,0,0
"1700113A16Rik",106,102,96,129,114,92
"1700113B09Rik",0,0,0,0,0,0
"1700113H08Rik",0,0,0,0,0,0
"1700116B05Rik",0,0,1,0,0,0
"1700116H05Rik",0,0,0,0,0,0
"1700119H24Rik",0,0,0,0,0,0
"1700120B22Rik",64,91,88,97,85,73
"1700120C14Rik",35,22,46,37,35,30
"1700120E14Rik",0,0,0,0,0,0
"1700120G07Rik",0,0,0,0,0,1
"1700120K04Rik",5,3,4,7,8,5
"1700121C08Rik",0,0,0,0,0,0
"1700121C10Rik",1,3,0,0,0,0
"1700121L16Rik",0,0,0,0,0,0
"1700121M21Rik",0,0,0,0,0,0
"1700121N20Rik",0,0,0,0,0,0
"1700122C19Rik",0,0,0,0,0,0
"1700122E12Rik",13,11,14,14,19,6
"1700122H20Rik",0,1,0,0,0,0
"1700122O11Rik",0,0,0,0,1,0
"1700123J17Rik",0,1,0,0,0,0
"1700123K08Rik",0,0,0,0,0,0
"1700123M08Rik",5,3,2,4,4,5
"1700123O12Rik",0,0,0,0,0,0
"1700123O20Rik",1227,1211,1237,1018,1034,1122
"1700123O21Rik",0,0,0,0,0,0
"1700124L16Rik",2,4,4,7,9,4
"1700124M09Rik",0,0,0,0,0,0
"1700125G02Rik",0,0,0,0,0,0
"1700125G22Rik",0,0,0,2,0,0
"1700125H03Rik",1,2,0,0,0,0
"1700126A01Rik",0,0,0,0,0,0
"1700126G02Rik",0,3,1,0,1,0
"1700126H18Rik",0,0,0,0,0,0
"1700127F24Rik",0,0,0,0,1,0
"1700128A07Rik",0,0,0,0,0,0
"1700128E19Rik",0,0,0,0,0,0
"1700128F08Rik",0,0,0,0,0,0
"1700129C05Rik",0,0,0,0,0,0
"1810006J02Rik",4,1,5,6,7,7
"1810007C17Rik",0,0,0,0,0,0
"1810007D17Rik",0,0,0,0,0,0
"1810008I18Rik",13,5,8,12,15,19
"1810009A15Rik",1,2,2,2,1,1
"1810009J06Rik",0,0,0,0,0,0
"1810010H24Rik",26,25,11,35,31,41
"1810010K12Rik",0,0,0,0,0,0
"1810012K16Rik",2,1,1,1,1,5
"1810013A23Rik",0,1,0,1,0,1
"1810013D15Rik",0,0,0,0,0,0
"1810014B01Rik",65,60,77,73,71,65
"1810018F18Rik",0,0,0,0,0,0
"1810019D21Rik",3,1,0,1,6,3
"1810019N24Rik",2,6,5,3,6,1
"1810021B22Rik",23,25,16,41,31,46
"1810021M19Rik",2,0,3,2,0,2
"1810024B03Rik",6,1,6,3,4,6
"1810030O07Rik",984,1045,1040,929,901,979
"1810034E14Rik",24,23,15,7,23,22
"1810035K13Rik",0,0,0,0,0,0
"1810037I17Rik",868,1005,1032,843,1016,1071
"1810041H14Rik",7,5,5,9,6,9
"1810044D09Rik",32,43,40,30,32,48
"1810049I09Rik",0,0,0,0,0,0
"1810053B23Rik",0,0,0,0,0,0
"1810055G02Rik",414,416,399,451,428,558
"1810062G17Rik",8,5,9,7,16,9
"1810062O18Rik",32,29,22,17,10,16
"1810063I02Rik",0,0,0,0,0,0
"1810064F22Rik",0,0,0,0,0,0
"1810065E05Rik",0,0,0,0,0,0
"1810073O08Rik",6,6,3,6,9,12
"2010001A14Rik",38,49,43,46,30,47
"2010001M07Rik",0,0,0,0,0,0
"2010003K11Rik",1,0,0,0,0,0
"2010004M13Rik",39,18,28,62,66,63
"2010009K17Rik",5,1,9,4,2,0
"2010010A06Rik",1,0,3,4,0,2
"2010016I18Rik",75,75,76,151,147,167
"2010103J01Rik",5,3,4,5,5,4
"2010106C02Rik",0,0,0,0,0,0
"2010106E10Rik",0,0,0,0,0,0
"2010109A12Rik",3,3,1,5,1,1
"2010109P13Rik",0,0,0,0,0,0
"2010110K18Rik",77,76,73,44,47,64
"2010203P06Rik",0,0,1,5,1,0
"2010204K13Rik",11,11,12,39,35,27
"2010308F09Rik",1,0,1,0,0,2
"2010310C07Rik",0,0,0,1,0,0
"2010315B03Rik",207,231,233,249,269,266
"2010320M18Rik",44,29,40,50,39,40
"2010320O07Rik",0,0,1,0,0,0
"2200002D01Rik",5,4,11,10,5,6
"2200002J24Rik",2,0,0,1,0,0
"2210011K15Rik",0,0,0,1,0,0
"2210016L21Rik",432,436,480,353,335,359
"2210039B01Rik",0,0,0,0,0,0
"2210404E10Rik",0,0,0,0,0,0
"2210406O10Rik",0,0,2,1,0,4
"2210408F21Rik",43,47,44,44,22,34
"2210408I21Rik",63,66,51,36,29,31
"2210409D07Rik",0,0,0,0,0,0
"2210409E12Rik",0,0,0,0,0,0
"2210414B05Rik",0,0,1,0,0,2
"2210416O15Rik",2,2,6,1,1,0
"2210417A02Rik",0,2,0,3,0,1
"2210418O10Rik",0,1,0,0,0,1
"2210420H20Rik",0,0,0,0,0,0
"2300002M23Rik",0,0,0,0,0,0
"2300003K06Rik",0,0,0,0,0,0
"2300009A05Rik",94,96,79,133,116,124
"2310001H17Rik",95,98,97,198,156,184
"2310001K24Rik",3,8,9,13,5,8
"2310002D06Rik",0,0,0,0,0,0
"2310002F09Rik",0,0,0,0,0,0
"2310002L09Rik",0,0,0,0,0,0
"2310003N18Rik",0,0,0,0,0,0
"2310005A03Rik",0,0,0,0,0,0
"2310005E17Rik",0,0,0,0,0,0
"2310008N11Rik",0,0,0,0,0,0
"2310009B15Rik",41,52,46,57,55,57
"2310010J17Rik",17,17,14,23,14,17
"2310011J03Rik",569,582,592,612,507,528
"2310015A10Rik",136,171,134,232,188,198
"2310015A16Rik",0,0,0,0,0,2
"2310015D24Rik",0,0,0,0,0,0
"2310015K22Rik",0,1,0,0,0,0
"2310016D03Rik",0,0,0,0,0,0
"2310016D23Rik",0,0,1,2,0,0
"2310016G11Rik",0,0,0,0,0,0
"2310020H05Rik",0,0,0,0,0,0
"2310022A10Rik",576,565,566,517,504,619
"2310022B05Rik",245,243,269,648,588,554
"2310026I22Rik",0,0,0,0,0,0
"2310030A07Rik",0,0,0,0,0,0
"2310030G06Rik",1,1,1,2,1,1
"2310033P09Rik",280,313,343,263,271,287
"2310034C09Rik",0,0,0,0,0,0
"2310034G01Rik",11,9,18,34,24,22
"2310034O05Rik",0,0,1,0,0,0
"2310039H08Rik",98,125,126,173,183,174
"2310039L15Rik",0,0,0,0,0,0
"2310040G24Rik",8,7,8,10,14,16
"2310043L19Rik",0,0,0,0,0,0
"2310043M15Rik",49,51,53,81,47,59
"2310043O21Rik",0,0,0,0,0,0
"2310047D07Rik",75,88,78,160,170,130
"2310047K21Rik",51,36,56,38,42,45
"2310057J18Rik",0,0,0,0,0,0
"2310057M21Rik",273,210,217,191,190,197
"2310057N15Rik",0,0,0,0,0,0
"2310058D17Rik",22,26,28,28,35,24
"2310058N22Rik",204,191,162,201,231,220
"2310061I04Rik",476,467,480,427,411,426
"2310061N02Rik",0,0,0,0,0,0
"2310065F04Rik",0,0,0,0,0,0
"2310067E19Rik",0,0,0,0,0,0
"2310068J16Rik",30,30,29,27,25,33
"2310069B03Rik",2,4,3,7,3,1
"2310069G16Rik",0,0,0,0,0,0
"2310075C17Rik",0,0,1,2,0,0
"2310075K07Rik",13,22,22,10,15,16
"2310079G19Rik",0,0,0,0,0,0
"2310081J21Rik",0,0,0,0,0,0
"2400006E01Rik",0,0,0,0,0,0
"2410002F23Rik",569,589,629,609,528,586
"2410003I16Rik",1,0,0,0,0,0
"2410003L11Rik",10,10,2,11,2,3
"2410004B18Rik",207,198,216,177,173,203
"2410004I01Rik",0,0,0,0,0,0
"2410004P03Rik",21,14,22,8,11,10
"2410006H16Rik",428,487,482,596,605,553
"2410012E07Rik",0,0,0,0,0,0
"2410017I17Rik",0,0,0,0,0,0
"2410018L13Rik",0,1,0,2,1,2
"2410021H03Rik",1,0,3,0,1,0
"2410022M11Rik",40,40,36,37,40,40
"2410080I02Rik",2,3,3,0,1,3
"2410124H12Rik",0,0,0,0,0,0
"2410137M14Rik",0,0,0,0,0,0
"2500002B13Rik",45,35,40,78,100,94
"2500004C02Rik",39,30,36,54,42,49
"2510002D24Rik",166,173,175,207,220,219
"2510003B16Rik",15,15,10,13,19,20
"2510009E07Rik",94,98,116,124,117,124
"2510022D24Rik",328,317,334,377,326,332
"2510039O18Rik",2108,2187,2412,2345,2124,2177
"2600006K01Rik",31,41,32,84,48,35
"2600014E21Rik",0,0,0,0,0,0
"2610005L07Rik",119,116,99,126,127,119
"2610008E11Rik",79,104,126,94,91,98
